   0.0000000e+00   0.0000000e+00   1.0000000e+00
   0.0000000e+00   3.3333333e-02   9.6666667e-01
   0.0000000e+00   6.6666667e-02   9.3333333e-01
   0.0000000e+00   1.0000000e-01   9.0000000e-01
   0.0000000e+00   1.3333333e-01   8.6666667e-01
   0.0000000e+00   1.6666667e-01   8.3333333e-01
   0.0000000e+00   2.0000000e-01   8.0000000e-01
   0.0000000e+00   2.3333333e-01   7.6666667e-01
   0.0000000e+00   2.6666667e-01   7.3333333e-01
   0.0000000e+00   3.0000000e-01   7.0000000e-01
   0.0000000e+00   3.3333333e-01   6.6666667e-01
   0.0000000e+00   3.6666667e-01   6.3333333e-01
   0.0000000e+00   4.0000000e-01   6.0000000e-01
   0.0000000e+00   4.3333333e-01   5.6666667e-01
   0.0000000e+00   4.6666667e-01   5.3333333e-01
   0.0000000e+00   5.0000000e-01   5.0000000e-01
   0.0000000e+00   5.3333333e-01   4.6666667e-01
   0.0000000e+00   5.6666667e-01   4.3333333e-01
   0.0000000e+00   6.0000000e-01   4.0000000e-01
   0.0000000e+00   6.3333333e-01   3.6666667e-01
   0.0000000e+00   6.6666667e-01   3.3333333e-01
   0.0000000e+00   7.0000000e-01   3.0000000e-01
   0.0000000e+00   7.3333333e-01   2.6666667e-01
   0.0000000e+00   7.6666667e-01   2.3333333e-01
   0.0000000e+00   8.0000000e-01   2.0000000e-01
   0.0000000e+00   8.3333333e-01   1.6666667e-01
   0.0000000e+00   8.6666667e-01   1.3333333e-01
   0.0000000e+00   9.0000000e-01   1.0000000e-01
   0.0000000e+00   9.3333333e-01   6.6666667e-02
   0.0000000e+00   9.6666667e-01   3.3333333e-02
   0.0000000e+00   1.0000000e+00   0.0000000e+00
   3.3333333e-02   0.0000000e+00   9.6666667e-01
   3.3333333e-02   3.3333333e-02   9.3333333e-01
   3.3333333e-02   6.6666667e-02   9.0000000e-01
   3.3333333e-02   1.0000000e-01   8.6666667e-01
   3.3333333e-02   1.3333333e-01   8.3333333e-01
   3.3333333e-02   1.6666667e-01   8.0000000e-01
