X,mean,VSD_HV_Distance,VSD_R2_Distance,R2_EMOA_Distance,SMS_EMOA_Distance
1,$0\%$,0.405,0.405,0.405,0.405
2,$10\%$,0.409,0.402,0,0
3,$20\%$,0.309,0.308,0,0
4,$30\%$,0.212,0.215,0,0
5,$40\%$,0.084,0.101,0,0
6,$50\%$,0.001,0.001,0,0
7,$60\%$,0,0.000,0,0
8,$70\%$,0,0.000,0,0
9,$80\%$,0,0.000,0,0
10,$90\%$,0,0.000,0,0
11,$100\%$,0,0.000,0,0
