X,mean,VSD_HV_Distance,VSD_R2_Distance,R2_EMOA_Distance,SMS_EMOA_Distance
1,$0\%$,0.4,0.400,0.401,0.4
2,$10\%$,0.509,0.526,0,0
3,$20\%$,0.435,0.479,0,0
4,$30\%$,0.308,0.384,0,0
5,$40\%$,0.142,0.210,0,0
6,$50\%$,0,0.000,0,0
7,$60\%$,0,0.000,0,0
8,$70\%$,0,0.000,0,0
9,$80\%$,0,0.000,0,0
10,$90\%$,0,0.000,0,0
11,$100\%$,0,0.000,0,0
