X,mean,VSD_HV_Distance,VSD_R2_Distance,R2_EMOA_Distance,SMS_EMOA_Distance
1,$0\%$,0.4,0.400,0.401,0.4
2,$10\%$,0.536,0.532,0,0
3,$20\%$,0.452,0.455,0,0
4,$30\%$,0.32,0.318,0,0
5,$40\%$,0.212,0.214,0,0
6,$50\%$,0,0.000,0,0
7,$60\%$,0,0.000,0,0
8,$70\%$,0,0.000,0,0
9,$80\%$,0,0.000,0,0
10,$90\%$,0,0.000,0,0
11,$100\%$,0,0.000,0,0
